[Wed May 08 00:00:05.193894 2024] [mpm_prefork:notice] [pid 907] AH00163: Apache/2.4.46 (Ubuntu) OpenSSL/1.1.1j configured -- resuming normal operations
[Wed May 08 00:00:05.193945 2024] [core:notice] [pid 907] AH00094: Command line: '/usr/sbin/apache2'
[Wed May 08 00:01:01.019080 2024] [php7:warn] [pid 168422] [client 23.88.105.37:61252] PHP Warning:  Unterminated comment starting line 2 in /var/www/html/configs/auth.inc on line 2
[Wed May 08 00:01:01.042445 2024] [php7:warn] [pid 168422] [client 23.88.105.37:61252] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:01:01.042491 2024] [php7:warn] [pid 168422] [client 23.88.105.37:61252] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:01:01.042504 2024] [php7:notice] [pid 168422] [client 23.88.105.37:61252] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:01:01.042513 2024] [php7:notice] [pid 168422] [client 23.88.105.37:61252] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:01:01.737887 2024] [php7:notice] [pid 168429] [client 116.203.134.67:64270] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:01:01.737951 2024] [php7:notice] [pid 168429] [client 116.203.134.67:64270] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:01:01.737960 2024] [php7:notice] [pid 168429] [client 116.203.134.67:64270] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:02:01.030397 2024] [php7:warn] [pid 168429] [client 23.88.105.37:13668] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:02:01.030443 2024] [php7:warn] [pid 168429] [client 23.88.105.37:13668] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:02:01.030454 2024] [php7:notice] [pid 168429] [client 23.88.105.37:13668] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:02:01.030463 2024] [php7:notice] [pid 168429] [client 23.88.105.37:13668] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:02:01.537763 2024] [php7:notice] [pid 168436] [client 116.203.134.67:17842] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:02:01.537803 2024] [php7:notice] [pid 168436] [client 116.203.134.67:17842] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:02:01.537811 2024] [php7:notice] [pid 168436] [client 116.203.134.67:17842] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:03:00.787097 2024] [php7:warn] [pid 168421] [client 23.88.105.37:31310] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:03:00.789185 2024] [php7:warn] [pid 168421] [client 23.88.105.37:31310] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:03:00.789209 2024] [php7:notice] [pid 168421] [client 23.88.105.37:31310] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:03:00.789218 2024] [php7:notice] [pid 168421] [client 23.88.105.37:31310] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:03:01.019989 2024] [php7:notice] [pid 168454] [client 116.203.134.67:38416] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:03:01.020036 2024] [php7:notice] [pid 168454] [client 116.203.134.67:38416] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:03:01.020045 2024] [php7:notice] [pid 168454] [client 116.203.134.67:38416] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:04:00.983172 2024] [php7:warn] [pid 168422] [client 23.88.105.37:51246] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:04:00.983210 2024] [php7:warn] [pid 168422] [client 23.88.105.37:51246] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:04:00.983222 2024] [php7:notice] [pid 168422] [client 23.88.105.37:51246] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:04:00.983230 2024] [php7:notice] [pid 168422] [client 23.88.105.37:51246] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:04:01.831103 2024] [php7:notice] [pid 168454] [client 116.203.134.67:54148] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:04:01.831142 2024] [php7:notice] [pid 168454] [client 116.203.134.67:54148] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:04:01.831150 2024] [php7:notice] [pid 168454] [client 116.203.134.67:54148] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:05:00.686632 2024] [php7:warn] [pid 168422] [client 23.88.105.37:7266] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:05:00.686679 2024] [php7:warn] [pid 168422] [client 23.88.105.37:7266] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:05:00.687043 2024] [php7:notice] [pid 168422] [client 23.88.105.37:7266] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:05:00.687053 2024] [php7:notice] [pid 168422] [client 23.88.105.37:7266] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:05:01.555852 2024] [php7:notice] [pid 168454] [client 116.203.134.67:12028] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:05:01.555892 2024] [php7:notice] [pid 168454] [client 116.203.134.67:12028] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:05:01.555900 2024] [php7:notice] [pid 168454] [client 116.203.134.67:12028] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:05:01.595276 2024] [php7:warn] [pid 168422] [client 116.203.134.67:12004] PHP Warning:  Unterminated comment starting line 2 in /var/www/html/tenova/configs/auth.inc on line 2
[Wed May 08 00:06:00.566460 2024] [php7:warn] [pid 168450] [client 23.88.105.37:31362] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:06:00.566529 2024] [php7:warn] [pid 168450] [client 23.88.105.37:31362] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:06:00.566557 2024] [php7:notice] [pid 168450] [client 23.88.105.37:31362] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:06:00.566564 2024] [php7:notice] [pid 168450] [client 23.88.105.37:31362] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:06:01.338332 2024] [php7:notice] [pid 168443] [client 116.203.134.67:35330] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:06:01.338375 2024] [php7:notice] [pid 168443] [client 116.203.134.67:35330] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:06:01.338383 2024] [php7:notice] [pid 168443] [client 116.203.134.67:35330] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:07:00.807395 2024] [php7:warn] [pid 168436] [client 23.88.105.37:52132] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:07:00.807445 2024] [php7:warn] [pid 168436] [client 23.88.105.37:52132] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:07:00.807461 2024] [php7:notice] [pid 168436] [client 23.88.105.37:52132] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:07:00.807471 2024] [php7:notice] [pid 168436] [client 23.88.105.37:52132] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:07:00.834681 2024] [php7:notice] [pid 168455] [client 116.203.134.67:55880] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:07:00.834728 2024] [php7:notice] [pid 168455] [client 116.203.134.67:55880] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:07:00.834738 2024] [php7:notice] [pid 168455] [client 116.203.134.67:55880] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:08:01.063615 2024] [php7:warn] [pid 168483] [client 23.88.105.37:7542] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:08:01.063683 2024] [php7:warn] [pid 168483] [client 23.88.105.37:7542] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:08:01.063693 2024] [php7:notice] [pid 168483] [client 23.88.105.37:7542] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:08:01.063699 2024] [php7:notice] [pid 168483] [client 23.88.105.37:7542] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:08:01.728815 2024] [php7:notice] [pid 168420] [client 116.203.134.67:9774] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:08:01.729478 2024] [php7:notice] [pid 168420] [client 116.203.134.67:9774] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:08:01.729488 2024] [php7:notice] [pid 168420] [client 116.203.134.67:9774] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:09:01.101336 2024] [php7:warn] [pid 168423] [client 23.88.105.37:29054] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:09:01.101449 2024] [php7:warn] [pid 168423] [client 23.88.105.37:29054] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:09:01.101463 2024] [php7:notice] [pid 168423] [client 23.88.105.37:29054] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:09:01.101473 2024] [php7:notice] [pid 168423] [client 23.88.105.37:29054] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:09:01.731559 2024] [php7:notice] [pid 168436] [client 116.203.134.67:29192] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:09:01.731598 2024] [php7:notice] [pid 168436] [client 116.203.134.67:29192] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:09:01.731606 2024] [php7:notice] [pid 168436] [client 116.203.134.67:29192] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:09:39.948928 2024] [php7:warn] [pid 168478] [client 196.201.212.74:33665] PHP Warning:  include_once(/var/www/html/finabora): failed to open stream: No such file or directory in /var/www/html/finabora/extensions/incoming-payments.php on line 3
[Wed May 08 00:09:39.948980 2024] [php7:warn] [pid 168478] [client 196.201.212.74:33665] PHP Warning:  include_once(): Failed opening '../' for inclusion (include_path='.:/usr/share/php') in /var/www/html/finabora/extensions/incoming-payments.php on line 3
[Wed May 08 00:09:39.948993 2024] [php7:notice] [pid 168478] [client 196.201.212.74:33665] PHP Notice:  Undefined index: c in /var/www/html/finabora/extensions/incoming-payments.php on line 4
[Wed May 08 00:10:01.025077 2024] [php7:notice] [pid 168436] [client 116.203.134.67:43598] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:10:01.025479 2024] [php7:notice] [pid 168436] [client 116.203.134.67:43598] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:10:01.025726 2024] [php7:notice] [pid 168436] [client 116.203.134.67:43598] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:10:01.522822 2024] [php7:warn] [pid 168483] [client 23.88.105.37:45444] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:10:01.522855 2024] [php7:warn] [pid 168483] [client 23.88.105.37:45444] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:10:01.522866 2024] [php7:notice] [pid 168483] [client 23.88.105.37:45444] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:10:01.522874 2024] [php7:notice] [pid 168483] [client 23.88.105.37:45444] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:11:01.098673 2024] [php7:warn] [pid 168485] [client 23.88.105.37:11990] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:11:01.098739 2024] [php7:warn] [pid 168485] [client 23.88.105.37:11990] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
