Application ID/ Customer number,Loan No.,Branch,Loan Product,Principal amount,Loan release date,Repayment date,Total Cost,Total Repaid,Loan Interest,Initiation Fee,Penalties
D1001,1,Dagoretti,SUPA FAST,10000,7/15/2020,8/14/2020,13000,13000,3000,500,0
D1001,2,Dagoretti,SUPA FAST,7000,8/7/2020,9/6/2020,9100,9100,2100,0,0
D1001,3,Dagoretti,SUPA FAST,7000,9/2/2020,10/2/2020,9100,9100,2100,0,0
D1001,4,Dagoretti,SUPA FAST,7000,9/23/2020,10/23/2020,9100,9100,2100,0,0
D1001,5,Dagoretti,SUPA FAST,7000,10/14/2020,11/13/2020,9100,9100,2100,0,0
D1001,6,Dagoretti,SUPA FAST,7000,11/4/2020,12/4/2020,9100,9100,2100,0,0
D1001,7,Dagoretti,SUPA FAST,7000,3/29/2021,4/28/2021,9100,9100,2100,0,0
D1001,8,Dagoretti,SUPA FAST,7000,4/26/2021,5/26/2021,9100,9100,2100,0,0
D1001,9,Dagoretti,SUPA FAST,7000,5/25/2021,6/24/2021,9100,9100,2100,0,0
D1001,10,Dagoretti,SUPA FAST,7000,6/23/2021,7/23/2021,9100,9100,2100,0,0
D1001,11,Dagoretti,SUPA FAST,5000,3/15/2022,4/14/2022,9100,9100,2100,0,0
D1002,1,Dagoretti,SUPA FAST,10000,7/17/2020,8/16/2020,13000,13000,3000,500,0
D1002,2,Dagoretti,SUPA FAST,10000,7/28/2020,8/27/2020,13000,13000,3000,0,0
D1002,3,Dagoretti,SUPA FAST,10000,8/7/2020,9/6/2020,13000,13000,3000,0,0
D1002,4,Dagoretti,SUPA FAST,10000,8/17/2020,9/16/2020,13000,13000,3000,0,0
D1002,5,Dagoretti,SUPA FAST,10000,8/28/2020,9/27/2020,13000,13000,3000,0,0
D1002,6,Dagoretti,SUPA FAST,10000,9/8/2020,10/8/2020,13000,13000,3000,0,0
D1002,7,Dagoretti,SUPA FAST,10000,9/21/2020,10/21/2020,13000,13000,3000,0,0
D1002,8,Dagoretti,SUPA FAST,10000,10/2/2020,11/1/2020,13000,13000,3000,0,0
D1002,9,Dagoretti,SUPA FAST,12000,10/13/2020,11/12/2020,15600,15600,3600,0,0
D1002,10,Dagoretti,SUPA FAST,12000,10/26/2020,11/25/2020,15600,15600,3600,0,0
D1002,11,Dagoretti,SUPA FAST,12000,11/6/2020,12/6/2020,15600,15600,3600,0,0
D1002,12,Dagoretti,SUPA FAST,12000,11/17/2020,12/17/2020,15600,15600,3600,0,0
D1002,13,Dagoretti,SUPA FAST,12000,11/30/2020,12/30/2020,15600,15600,3600,0,0
D1002,14,Dagoretti,SUPA FAST,12000,12/11/2020,1/10/2021,15600,15600,3600,0,0
D1002,15,Dagoretti,SUPA FAST,12000,12/22/2020,1/21/2021,15600,15600,3600,0,0
D1002,16,Dagoretti,SUPA FAST,15000,1/4/2021,2/3/2021,19500,19500,4500,0,0
D1002,17,Dagoretti,SUPA FAST,15000,1/15/2021,2/14/2021,19500,19500,4500,0,0
D1002,18,Dagoretti,SUPA FAST,15000,1/26/2021,2/25/2021,19500,19500,4500,0,0
D1002,19,Dagoretti,SUPA FAST,15000,2/6/2021,3/8/2021,19500,19500,4500,0,0
D1002,20,Dagoretti,SUPA FAST,17000,2/18/2021,3/20/2021,22100,22100,5100,0,0
D1002,21,Dagoretti,SUPA FAST,18000,3/2/2021,4/1/2021,23400,23400,5400,0,0
D1002,22,Dagoretti,SUPA FAST,20000,3/15/2021,4/14/2021,26000,26000,6000,0,0
D1002,23,Dagoretti,SUPA FAST,20000,3/27/2021,4/26/2021,26000,26000,6000,0,0
D1002,24,Dagoretti,SUPA FAST,20000,4/8/2021,5/8/2021,26000,26000,6000,0,0
D1002,25,Dagoretti,SUPA FAST,21000,4/20/2021,5/20/2021,27300,14220,6300,0,5880
D1003,1,Dagoretti,SUPA FAST,20000,7/21/2020,8/20/2020,26000,26000,6000,500,0
D1003,2,Dagoretti,SUPA FAST,20000,8/3/2020,9/2/2020,26000,26000,6000,0,0
D1003,3,Dagoretti,SUPA FAST,20000,8/14/2020,9/13/2020,26000,26000,6000,0,0
D1003,4,Dagoretti,SUPA FAST,20000,8/28/2020,9/27/2020,26000,26000,6000,0,0
D1003,5,Dagoretti,SUPA FAST,20000,9/10/2020,10/10/2020,26000,26000,6000,0,0
D1003,6,Dagoretti,SUPA FAST,20000,9/25/2020,10/25/2020,26000,26000,6000,0,0
D1003,7,Dagoretti,SUPA FAST,20000,10/8/2020,11/7/2020,26000,26000,6000,0,0
D1003,8,Dagoretti,SUPA FAST,20000,10/22/2020,11/21/2020,26000,26000,6000,0,0
D1003,9,Dagoretti,SUPA FAST,20000,11/5/2020,12/5/2020,26000,26000,6000,0,0
D1003,10,Dagoretti,SUPA FAST,30000,11/19/2020,12/19/2020,39000,39000,9000,0,0
D1003,11,Dagoretti,SUPA FAST,30000,12/4/2020,1/3/2021,39000,39000,9000,0,0
D1003,12,Dagoretti,SUPA FAST,30000,12/19/2020,1/18/2021,39000,39000,9000,0,0
D1003,13,Dagoretti,SUPA FAST,30000,1/2/2021,2/1/2021,39000,39000,9000,0,0
D1003,14,Dagoretti,SUPA FAST,35000,1/15/2021,2/14/2021,45500,45500,10500,0,0
D1003,15,Dagoretti,SUPA FAST,35000,1/29/2021,2/28/2021,45500,45500,10500,0,0
D1003,16,Dagoretti,SUPA FAST,40000,2/12/2021,3/14/2021,52000,52000,12000,0,0
D1003,17,Dagoretti,SUPA FAST,50000,12/17/2021,1/16/2021,65000,65000,15000,0,0
D1003,18,Dagoretti,SUPA FAST,50000,2/12/2022,3/14/2022,65000,65000,15000,0,0
D1003,19,Dagoretti,SUPA FAST,50000,3/28/2022,4/27/2022,65000,65000,15000,0,0
D1003,20,Dagoretti,SUPA FAST,50000,4/11/2022,5/11/2022,65000,65000,15000,0,0
D1003,21,Dagoretti,SUPA FAST,50000,11/21/2022,12/21/2022,65000,65000,15000,0,0
D1003,22,Dagoretti,SUPA FAST,50000,12/3/2022,1/2/2023,65000,65000,15000,0,0
D1003,23,Dagoretti,SUPA FAST,50000,12/17/2022,1/16/2023,65000,65000,15000,0,0
D1003,24,Dagoretti,SUPA FAST,50000,12/31/2022,1/30/2023,65000,65000,15000,0,0
D1003,25,Dagoretti,SUPA FAST,50000,1/13/2023,3/12/2023,65000,65000,15000,0,0
D1003,26,Dagoretti,SUPA FAST,50000,1/28/2023,2/27/2023,65000,65000,15000,0,0
