Application ID/ Customer number,Loan No.,Branch,Loan Product,Principal mount,Loan release date,Repayment date,Total Cost,Total Repaid,Loan Interest,Initiation Fee,Penalties
K4001,1,Kiambu,SUPA FAST,"6000",3/8/2023,4/7/2023,7800,7800,1800,500,0
K4001,2,Kiambu,SUPA FAST,"6000",3/31/2023,4/30/2023,8160,2200,1800,0,1680
K4002,1,Kiambu,SUPA FAST,5000,3/11/2023,4/10/2023,6500,6500,1500,500,0
K4002,2,Kiambu,SUPA FAST,5000,3/31/2023,4/30/2023,6500,6501,1500,0,0
K4002,3,Kiambu,SUPA FAST,6000,4/29/2023,5/29/2023,7800,7800,1800,0,0
K4002,4,Kiambu,SUPA FAST,6000,5/24/2023,6/23/2023,7800,7800,1800,0,0
K4002,5,Kiambu,SUPA FAST,6000,6/16/2023,7/16/2023,7800,7800,1800,0,420
K4003,1,Kiambu,SUPA FAST,3000,3/16/2023,4/15/2023,3900,3900,900,500,180
K4003,2,Kiambu,SUPA FAST,3000,4/18/2023,5/18/2023,3900,3900,900,0,0
K4004,1,Kiambu,SUPA FAST,8000,3/16/2023,4/15/2023,10400,10400,2400,500,480
K4004,2,Kiambu,SUPA FAST,8000,4/14/2023,5/14/2023,"12,640",5900,2400,0,"2,240"
K4005,1,Kiambu,SUPA FAST,5000,3/17/2023,4/16/2023,6500,6500,1500,500,0
K4005,2,Kiambu,SUPA FAST,5000,4/12/2023,5/12/2023,7900,650,1500,0,1400
K4006,1,Kiambu,SUPA FAST,"10000",3/20/2023,4/19/2023,"13000","13,000","3,000",500,0
K4006,2,Kiambu,SUPA FAST,10000,4/18/2023,5/18/2023,"13,000","4,700",3000,0,"2,800"
K4007,1,Kiambu,SUPA FAST,5000,3/20/2023,4/19/2023,6500,6800,1500,500,300
K4008,1,Kiambu,SUPA FAST,5000,3/21/2023,4/20/2023,6500,6800,1500,500,300
K4009,1,Kiambu,SUPA FAST,10000,3/21/2023,4/20/2023,13000,13000,3000,500,0
K4009,2,Kiambu,SUPA FAST,10000,4/17/2023,5/17/2023,13000,13000,3000,0,0
K4009,3,Kiambu,SUPA FAST,10000,5/10/2023,6/9/2023,13600,13600,3000,0,600
K4009,4,Kiambu,SUPA FAST,10000,6/12/2023,7/12/2023,"13,600","13,600","3,000",0,600
K40010,1,Kiambu,SUPA FAST,10000,3/22/2023,4/21/2023,13000,13000,3000,500,600
K40010,2,Kiambu,SUPA FAST,10000,6/17/2023,7/17/2023,13600,0,3000,0,1600
K40011,1,Kiambu,SUPA FAST,5000,3/23/2023,4/22/2023,6500,6500,1500,500,0
