Application ID/ Customer number,Loan No.,Branch,Loan Product,Principal amount,Loan release date,Repayment date,Total Cost,Total Repaid,Loan Interest,Initiation Fee,Penalties
N3001,1,Ngong,SUPA FAST,7000,11/14/2022,12/14/2022,9100,7100,2100,500,1960
N3002,1,Ngong,SUPA FAST,5000,11/17/2022,12/17/2022,6500,6500,1500,500,0
N3002,2,Ngong,SUPA FAST,5000,1/30/2023,3/1/2023,6500,6500,1500,0,0
N3002,3,Ngong,SUPA FAST,5000,3/1/2023,3/31/2023,6500,6500,1500,0,0
N3002,4,Ngong,SUPA FAST,5000,3/28/2023,4/27/2023,6500,6500,1500,0,0
N3002,5,Ngong,SUPA FAST,6000,4/12/2023,5/12/2023,7800,7800,1800,0,0
N3002,6,Ngong,SUPA FAST,6000,4/27/2023,5/24/2023,7800,7800,1800,0,0
N3003,1,Ngong,SUPA FAST,5000,11/18/2022,12/18/2023,6500,6500,1500,500,0
N3003,2,Ngong,SUPA FAST,7000,12/14/2022,1/13/2023,9100,9100,2100,0,0
N3003,3,Ngong,SUPA FAST,10000,1/9/2023,2/8/2023,13000,13000,3000,0,0
N3003,4,Ngong,SUPA FAST,10000,2/1/2023,3/3/2023,13000,13000,3000,0,0
N3003,5,Ngong,SUPA FAST,12000,3/2/2023,4/1/2023,15600,15600,3600,0,0
N3003,6,Ngong,SUPA FAST,5000,3/31/2023,4/30/2023,6500,6500,1500,0,0
N3003,7,Ngong,SUPA FAST,10000,4/25/2023,5/25/2023,13000,13000,3000,0,0
N3003,8,Ngong,SUPA FAST,12000,5/24/2023,6/23/2023,15600,15600,3600,0,0
N3003,9,Ngong,SUPA FAST,12000,6/15/2023,7/15/2023,15650,15650,3600,0,0
N3003,10,Ngong,SUPA FAST,8000,7/12/2023,8/11/2023,10400,6200,2400,0,0
N3004,1,Ngong,SUPA FAST,5000,11/18/2022,12/18/2022,6500,6500,1500,500,0
N3004,2,Ngong,SUPA FAST,5000,12/2/2022,1/1/2023,6500,6500,1500,0,0
N3004,3,Ngong,SUPA FAST,5000,12/10/2023,1/9/2023,6500,4125,1500,0,800
N3005,1,Ngong,SUPA FAST,6000,11/21/2022,12/21/2022,7800,7800,1800,500,0
N3006,1,Ngong,SUPA FAST,5000,11/26/2022,12/26/2022,6500,6500,1500,500,0
N3006,2,Ngong,SUPA FAST,5000,12/24/2022,1/23/2023,6500,6500,1500,0,0
N3006,3,Ngong,SUPA FAST,5000,1/18/2023,2/17/2023,6500,6500,1500,0,0
N3006,4,Ngong,SUPA FAST,5000,2/16/2023,3/18/2023,6500,6500,1500,0,0
N3006,5,Ngong,SUPA FAST,5000,3/28/2023,4/27/2023,6500,6500,1500,0,0
N3006,6,Ngong,SUPA FAST,5000,4/26/2023,5/26/2023,6500,6500,1500,0,0
N3006,7,Ngong,SUPA FAST,5000,5/20/2023,6/19/2023,6500,6500,1500,0,0
N3007,1,Ngong,SUPA FAST,10000,11/26/2022,12/26/2022,13000,13000,3000,500,0
N3007,2,Ngong,sUPA FAST,10000,12/23/2022,1/22/2023,13000,13000,3000,0,600
N3008,1,Ngong,SUPA FAST,5000,12/5/2022,1/4/2023,6500,6500,1500,500,0
N3008,2,Ngong,SUPA FAST,7000,12/13/2022,1/12/2023,9100,9100,2100,0,0
N3008,3,Ngong,SUPA FAST,7000,1/4/2023,2/3/2023,9100,2000,2100,0,1960
N3009,1,Ngong,SUPA FAST,5000,12/6/2022,1/5/2023,6500,6500,1500,500,300
N3010,1,Ngong,SUPA FAST,10000,12/7/2022,1/6/2023,13000,13000,3000,500,0
N30010,2,Ngong,SUPA FAST,10000,12/19/2022,1/18/2023,13000,13000,3000,0,0
N3010,3,Ngong,SUPA FAST,15000,1/10/2023,2/9/2023,19500,19500,4500,0,0
N3010,4,Ngong,SUPA FAST,15000,1/23/2023,2/22/2023,19500,19500,4500,0,0
N3010,5,Ngong,SUPA FAST,17000,2/6/2023,3/8/2023,22100,22100,5100,0,0
N3010,6,Ngong,SUPA FAST,17000,2/21/2023,3/23/2023,22100,22100,5100,0,0
N3010,7,Ngong,SUPA FAST,17000,3/6/2023,4/5/2023,22100,22100,5100,0,0
N3010,8,Ngong,SUPA FAST,20000,3/21/2023,4/20/2023,26000,26000,6000,0,0
N3011,1,Ngong,SUPA FAST,10000,12/8/2022,1/7/2023,13000,13000,3000,500,0
N3011,2,Ngong,SUPA FAST,10000,1/6/2023,2/5/2023,13000,13000,3000,0,600
N3011,3,Ngong,SUPA FAST,10000,2/6/2023,3/8/2023,13000,13000,3000,0,0
N3011,4,Ngong,SUPA FAST,10000,3/8/2023,4/7/2023,13000,13000,3000,0,0
N3011,5,Ngong,SUPA FAST,10000,4/11/2023,5/11/2023,13000,13000,3000,0,0
N3012,1,Ngong,SUPA FAST,5000,12/15/2022,1/14/2023,6500,6500,1500,500,0
N3012,2,Ngong,SUPA FAST,10000,1/11/2023,2/10/2023,13000,13000,3000,0,0
N3012,3,Ngong,SUPA FAST,10000,2/1/2023,3/3/2023,13000,13000,3000,0,0
N3012,4,Ngong,SUPA FAST,10000,2/23/2023,3/25/2023,13000,13000,3000,0,0
N3012,5,Ngong,SUPA FAST,10000,3/11/2023,4/10/2023,13000,14000,3000,0,2800
N3013,1,Ngong,SUPA FAST,5000,12/15/2022,1/14/2023,6500,6500,1500,500,0
N3013,2,Ngong,SUPA FAST,6000,1/11/2023,2/10/2023,7800,540,1800,0,960
N3014,1,Ngong,SUPA FAST,5000,12/17/2022,1/16/2023,6500,6500,1500,500,0
N3014,2,Ngong,SUPA FAST,7000,1/9/2023,2/8/2023,9100,9100,2100,0,0
N3014,3,Ngong,SUPA FAST,5000,2/27/2023,3/29/2023,6500,6500,1500,0,0
N3014,4,Ngong,SUPA FAST,10000,3/16/2023,4/15/2023,13000,13000,3000,0,0
N3014,5,Ngong,SUPA FAST,5000,4/17/2023,5/17/2023,6500,6500,1500,0,0
N3014,6,Ngong,SUPA FAST,10000,5/8/2023,6/7/2023,13000,13000,3000,0,0
N3014,7,Ngong,SUPA FAST,10000,6/6/2023,7/6/2023,13000,13000,3000,0,0
N3014,8,Ngong,SUPA FAST,5000,7/5/2023,8/4/2023,6500,6500,1500,0,0
N3015,1,Ngong,SUPA FAST,7000,12/16/2022,1/15/2023,9100,9100,2100,500,0
N3015,2,Ngong,SUPA FAST,20000,3/29/2023,4/28/2023,26000,26000,6000,0,0
N3015,3,Ngong,SUPA FAST,20000,4/22/2023,5/22/2023,26000,26000,6000,0,0
N3015,4,Ngong,SUPA FAST,20000,5/16/2023,6/15/2023,26000,26000,6000,0,0
N3015,5,Ngong,SUPA FAST,30000,6/10/2023,7/10/2023,39000,39000,9000,0,0
N3015,6,Ngong,SUPA FAST,30000,7/7/2023,8/6/2023,39000,36400,9000,0,0
N3016,1,Ngong,SUPA FAST,10000,1/7/2023,2/6/2023,13000,13000,3000,500,0
N3016,2,Ngong,SUPA FAST,10000,2/4/2023,3/6/2023,13000,13000,3000,0,0
N3016,3,Ngong,SUPA FAST,10000,3/4/2023,4/3/2023,13000,13000,3000,0,0
N3016,4,Ngong,SUPA FAST,10000,4/1/2023,5/1/2023,13000,3600,3000,0,2800
N3017,1,Ngong,SUPA FAST,10000,1/7/2023,2/6/2023,13000,13000,3000,500,600
N3018,1,Ngong,SUPA FAST,10000,1/11/2023,2/10/2023,13000,13000,3000,500,600
N3018,2,Ngong,SUPA FAST,10000,2/9/2023,3/11/2023,13000,9880,3000,0,600
N3019,1,Ngong,SUPA FAST,5000,1/11/2023,2/10/2023,6500,6500,1500,500,0
N3019,2,Ngong,SUPA FAST,5000,2/7/2023,3/9/2023,6500,6500,1500,0,0
N3019,3,Ngong,SUPA FAST,5000,3/7/2023,4/6/2023,6500,6100,1500,0,800
N3020,1,Ngong,SUPA FAST,10000,1/17/2023,2/16/2023,13000,13000,3000,500,0
N3020,2,Ngong,SUPA FAST,10000,2/14/2023,3/16/2023,13000,13000,3000,0,600
N3021,1,Ngong,SUPA FAST,4000,2/4/2023,3/6/2023,5200,5200,1200,500,0
N3021,2,Ngong,SUPA FAST,4000,2/28/2023,3/30/2023,5200,5200,1200,0,0
N3021,3,Ngong,SUPA FAST,4000,3/29/2023,4/28/2023,5200,5200,1200,0,0
N3021,4,Ngong,SUPA FAST,4000,4/27/2023,5/27/2023,5200,1700,1200,0,240
N3022,1,Ngong,SUPA FAST,4000,2/4/2023,3/6/2023,5200,5200,1200,500,0
N3022,2,Ngong,SUPA FAST,4000,2/27/2023,3/29/2023,5200,1300,1200,0,240
N3023,1,Ngong,SUPA FAST,8000,2/8/2023,3/10/2023,10400,10400,2400,500,0
N3023,2,Ngong,SUPA FAST,8000,2/14/2023,3/16/2023,10400,10400,2400,0,0
N3023,3,Ngong,SUPA FAST,8000,3/11/2023,4/10/2023,10400,10400,2400,0,0
N3023,4,Ngong,SUPA FAST,8000,4/8/2023,5/8/2023,10400,0,2400,0,2240
N3024,1,Ngong,SUPA FAST,4000,2/6/2023,3/8/2023,5200,5200,1200,500,0
N3024,2,Ngong,SUPA FAST,4000,2/14/2023,3/16/2023,5200,5200,1200,0,0
N3024,3,Ngong,SUPA FAST,4000,3/13/2023,4/12/2023,5200,1506,1200,0,240
N3025,1,Ngong,SUPA FAST,7000,2/8/2023,3/10/2023,9100,9100,2100,500,0
N3025,2,Ngong,SUPA FAST,7000,3/2/2023,4/1/2023,9100,9100,2100,0,0
N3025,3,Ngong,SUPA FAST,5000,5/4/2023,6/3/2023,6500,6500,1500,0,0
N3026,1,Ngong,SUPA FAST,5000,2/9/2023,3/11/2023,6500,2030,1500,500,0
N3026,1,Ngong,SUPA FAST,5000,2/9/2023,3/11/2023,6500,2030,1500,500,800
N3027,1,Ngong,SUPA FAST,5000,2/9/2023,3/11/2023,6500,1650,1500,500,800
N3028,1,Ngong,SUPA FAST,10000,2/10/2023,3/12/2023,13000,13000,3000,500,0
N3028,2,Ngong,SUPA FAST,10000,3/10/2023,4/9/2023,13000,0,3000,0,2800
N3029,1,Ngong,SUPA FAST,10000,2/10/2023,3/12/2023,13000,13000,3000,500,0
N3029,2,Ngong,SUPA FAST,10000,3/11/2023,4/10/2023,13000,3200,3000,0,2800
N3030,1,Ngong,SUPA FAST,5000,2/11/2023,3/13/2023,6500,6500,1500,500,0
N3030,2,Ngong,SUPA FAST,4000,3/14/2023,4/12/2023,5200,5200,1200,0,0
N3030,3,Ngong,SUPA FAST,3500,4/11/2023,5/11/2023,4550,4550,1050,0,0
N3030,4,Ngong,SUPA FAST,5000,5/9/2023,6/8/2023,6500,6500,1500,0,0
N3030,5,Ngong,SUPA FAST,4000,6/13/2023,7/13/2023,5200,520,1200,0,0
N3030,6,Ngong,SUPA FAST,4000,7/12/2023,8/11/2023,5200,2000,1200,0,0
N3031,1,Ngong,SUPA FAST,6000,2/13/2023,3/15/2023,7800,7800,1800,500,0
N3031,2,Ngong,SUPA FAST,6000,3/6/2023,4/5/2023,7800,7800,1800,0,0
N3032,1,Ngong,SUPA FAST,5000,2/14/2023,3/16/2023,6500,6500,1500,500,0
N3032,2,Ngong,SUPA FAST,5000,3/15/2023,4/14/2023,6500,6500,1500,0,300
N3032,3,Ngong,SUPA FAST,5000,5/11/2023,6/10/2023,6500,6500,1500,0,1400
N3033,1,Ngong,SUPA FAST,5000,2/17/2023,3/19/2023,6500,6500,1500,500,300
N3033,2,Ngong,SUPA FAST,5000,3/18/2023,4/17/2023,6500,6500,1500,0,300
N3034,1,Ngong,SUPA FAST,5000,2/17/2023,3/19/2023,6500,6500,1500,500,300
N3035,1,Ngong,SUPA FAST,10000,2/17/2023,3/19/2023,13000,13000,3000,500,600
N3036,1,Ngong,SUPA FAST,5000,2/17/2023,3/19/2023,6500,6500,1500,500,0
N3036,2,Ngong,SUPA FAST,5000,3/6/2023,4/5/2023,6500,6500,1500,0,0
N3036,3,Ngong,SUPA FAST,5000,3/27/2023,4/26/2023,6500,6500,1500,0,0
N3036,4,Ngong,SUPA FAST,5000,4/26/2023,5/26/2023,6500,6500,1500,0,0
N3037,1,Ngong,SUPA FAST,5000,2/22/2023,3/24/2023,6500,6500,1500,500,0
N3037,2,Ngong,SUPA FAST,5000,3/9/2023,4/8/2023,6500,6500,1500,0,0
N3037,3,Ngong,SUPA FAST,5000,3/22/2023,4/21/2023,6500,6500,1500,0,0
N3037,4,Ngong,SUPA FAST,5000,4/21/2023,5/21/2023,6500,6500,1500,0,0
N3037,5,Ngong,SUPA FAST,10000,5/19/2023,6/18/2023,13000,0,3000,0,2800
N3038,1,Ngong,SUPA FAST,3000,3/1/2023,3/31/2023,3900,975,900,500,180
N3039,1,Ngong,SUPA FAST,5000,3/2/2023,4/1/2023,6500,6500,1500,500,0
N3039,2,Ngong,SUPA FAST,5000,3/20/2023,4/19/2023,6500,1625,1500,0,300
N3040,1,Ngong,SUPA FAST,10000,3/10/2023,4/9/2023,13000,3550,3000,500,2800
N3041,1,Ngong,SUPA FAST,5000,3/10/2023,4/9/2023,6500,6500,1500,500,0
N3042,1,Ngong,SUPA FAST,4000,3/11/2023,4/10/2023,5200,3100,1200,500,240
N3043,1,Ngong,SUPA FAST,4000,3/14/2023,4/13/2023,5200,5200,1200,500,0
N3044,1,Ngong,SUPA FAST,5000,3/15/2023,4/14/2023,6500,6500,1500,500,0
N3044,2,Ngong,SUPA FAST,5000,4/13/2023,5/13/2023,6500,6500,1500,0,0
N3045,1,Ngong,SUPA FAST,5000,3/17/2023,4/16/2023,6500,6500,1500,500,0
N3046,1,Ngong,SUPA FAST,5000,3/21/2023,4/20/2023,6500,6500,1500,500,0
N3046,2,Ngong,SUPA FAST,5000,4/7/2023,5/7/2023,6500,6500,1500,0,0
N3046,3,Ngong,SUPA FAST,5000,5/3/2023,6/2/2023,6500,6500,1500,0,0
N3047,1,Ngong,SUPA FAST,10000,3/22/2023,4/21/2023,13000,13000,3000,500,0
N3048,1,Ngong,SUPA FAST,5000,3/29/2023,4/28/2023,6500,6500,1500,500,300
N3049,1,Ngong,SUPA FAST,5000,3/29/2023,4/28/2023,6500,6500,1500,500,0
N3049,2,Ngong,SUPA FAST,5000,4/12/2023,5/12/2023,6500,6500,1500,0,0
N3049,3,Ngong,SUPA FAST,5000,7/15/2023,8/14/2023,6500,6500,1500,0,0
N3049,4,Ngong,SUPA FAST,7000,7/31/2023,8/30/2023,9100,0,2100,0,0
N3050,1,Ngong,SUPA FAST,10000,3/31/2023,4/30/2023,13000,13000,3000,500,0
N3050,2,Ngong,SUPA FAST,10000,4/29/2023,5/29/2023,13000,0,3000,0,2800
N3051,1,Ngong,SUPA FAST,10000,4/6/2023,5/6/2023,13000,13000,3000,500,600
N3051,2,Ngong,SUPA FAST,8000,5/6/2023,6/5/2023,10400,10400,2400,0,0
N3052,1,Ngong,SUPA FAST,10000,4/6/2023,5/4/2023,13000,13000,3000,500,0
N3052,2,Ngong,SUPA FAST,5000,5/2/2023,6/1/2023,6500,6500,1500,0,0
N3052,3,Ngong,SUPA FAST,5000,5/26/2023,6/25/2023,6500,6500,1500,0,0
N3052,4,Ngong,SUPA FAST,7000,6/24/2023,7/24/2023,9100,9100,2100,0,420
N3052,5,Ngong,SUPA FAST,10000,7/24/2023,8/23/2023,13000,0,3000,0,0
N3053,1,Ngong,SUPA FAST,5000,4/14/2023,5/14/2023,6500,2560,1500,500,800
N3054,1,Ngong,SUPA FAST,5000,4/22/2023,5/22/2023,6500,500,1500,500,800
N3055,1,Ngong,SUPA FAST,5000,5/4/2023,6/3/2023,6500,6450,1500,500,300
N3056,1,Ngong,SUPA FAST,5000,5/4/2023,6/3/2023,6500,6500,1500,500,300
N3056,2,Ngong,SUPA FAST,5000,6/5/2023,7/5/2023,6500,6500,1500,0,300
N3056,3,Ngong,SUPA FAST,5000,7/24/2023,8/23/2023,6500,0,1500,0,0
