Application ID,Loan No.,Repaid Date,Mpesa Code,Amount,Balance
N3001,1,11/21/2022,QKL0E0DQR0,400,8700
N3001,1,12/06/2022,QL67J8JRIB,500,8200
N3001,1,12/11/2022,QLB3Y2UADJ,500,7700
N3001,1,12/13/2022,QLD43PQTF6,500,7200
N3001,1,12/23/2022,QLN5V1AKK3,1000,6200
N3001,1,01/09/2023,RA902FJM98,500,5700
N3001,1,01/17/2023,RAH8K8RR6U,2000,3700
N3001,1,02/03/2023,RB35S2SYWB,400,3300
N3001,1,02/20/2023,RBK62JL3PG,500,2800
N3001,1,04/10/2023,RDA1UEUFYX,300,2500
N3001,1,06/16/2023,RFG07B69KC,300,2200
N3001,1,06/18/2023,RFI6EI80UG,200,2000
N3002,1,12/12/2022,QLC5YHHOR1,6000,450
N3002,1,12/14/2022,QLE477YFF6,350,100
N3002,1,12/15/2022,QLF47GPGQE,100,0
N3002,2,3/1/2023,RC19R2FKGT,6500,0
N3002,3,3/28/2023,RCS7T9COCB,6400,0
N3002,4,4/12/2023,RDC8ZJDILM,5800,0
N3002,5,4/22/2023,RDM9T9PVK5,6720,0
N3002,6,5/26/2023,REQ9HQA3ZN,6500,1300
N3002,6,5/26/2023,REQ6I8785A,1300,0
N3003,1,11/19/2022,QKJ38Y99NF,100,6250
N3003,1,11/19/2022,QKJ98YBZHJ,17,6233
N3003,1,11/19/2022,QKJ88YD4AY,100,6133
N3003,1,11/19/2022,QKJ98YFMGJ,100,6033
N3003,1,11/19/2022,QKJ58YGSL3,17,6016
N3003,1,11/19/2022,QKJ88YK0U6,100,5916
N3003,1,11/21/2022,QKL6CX1X2U,100,5816
N3003,1,11/21/2022,QKL9CX5ET1,100,5716
N3003,1,11/21/2022,QKL3CX6C2N,34,5682
N3003,1,11/21/2022,QKL3CX8E2J,100,5582
N3003,1,11/21/2022,QKL7CXCPMN,100,5482
N3003,1,11/22/2022,QKM9F9WEBN,100,5382
N3003,1,11/22/2022,QKM0F9Y8WC,17,5365
N3003,1,11/22/2022,QKM3F9Z6Z3,100,5265
N3003,1,11/23/2022,QKN3IGF9OP,100,5165
N3003,1,11/23/2022,QKN8IGGBA2,17,5148
N3003,1,11/23/2022,QKN1IGIWZP,100,5048
N3003,1,11/24/2022,QKO4LCLUOG,100,4948
N3003,1,11/24/2022,QKO3LCND6X,17,4931
N3003,1,11/24/2022,QKO0LCS5A4,100,4831
N3003,1,11/25/2022,QKP2NZX5CE,100,4731
N3003,1,11/25/2022,QKP4NZYLE2,17,4714
N3003,1,11/25/2022,QKP1O00PUR,100,4614
