Application ID/ Customer number,Loan No.,Branch,Loan Product,Principal amount,Loan release date,Repayment date,Total Cost,Total Repaid,Loan Interest,Initiation Fee,Penalties
W2001,1,Waiyaki Way,SUPA FAST,9500,10/14/2021,11/13/2021,12350,12350,2850,500,0
W2001,2,Waiyaki Way,SUPA FAST,9500,12/3/2021,1/2/2022,12350,12350,2850,0,0
W2001,3,Waiyaki Way,SUPA FAST,9500,1/19/2022,2/18/2023,12350,12350,2850,0,0
W2001,4,Waiyaki Way,SUPA FAST,14500,2/16/2022,3/18/2022,18850,1400,4350,0,4060
W2002,1,Waiyaki Way,SUPA FAST,10000,10/15/2021,11/14/2021,13000,13000,3000,500,600
W2002,2,Waiyaki Way,SUPA FAST,10000,11/15/2021,12/15/2021,13000,13000,3000,0,0
W2002,3,Waiyaki Way,SUPA FAST,10000,12/14/2021,1/13/2022,13000,0,3000,0,2800
W2003,1,Waiyaki Way,SUPA FAST,10000,10/19/2021,11/18/2021,13000,13000,3000,500,0
W2003,2,Waiyaki Way,SUPA FAST,10000,11/26/2021,12/26/2021,13000,13000,3000,0,0
W2004,1,Waiyaki Way,SUPA FAST,8000,10/21/2021,11/20/2021,10400,10400,2400,500,0
W2004,2,Waiyaki Way,SUPA FAST,8000,11/19/2021,12/18/2021,10400,10400,2400,0,0
W2004,3,Waiyaki Way,SUPA FAST,8000,12/17/2021,1/16/2022,10400,10400,2400,0,0
W2004,4,Waiyaki Way,SUPA FAST,8000,1/14/2022,2/13/2022,10400,10400,2400,0,0
W2004,5,Waiyaki Way,SUPA FAST,8000,2/11/2022,3/13/2022,10400,10400,2400,0,0
W2004,5,Waiyaki Way,SUPA FAST,8000,3/15/2022,4/14/2022,10400,10400,2400,0,0
W2004,6,Waiyaki Way,SUPA FAST,8000,4/12/2022,5/12/2022,10400,10400,2400,0,0
W2004,7,Waiyaki Way,SUPA FAST,10000,5/10/2022,6/9/2022,13000,13000,3000,0,0
W2004,8,Waiyaki Way,SUPA FAST,10000,6/8/2022,7/8/2022,13000,13000,3000,0,0
W2004,9,Waiyaki Way,SUPA FAST,10000,7/4/2022,8/3/2022,13000,13000,3000,0,0
W2004,10,Waiyaki Way,SUPA FAST,10000,7/30/2022,8/29/2022,13000,13000,3000,0,0
W2004,11,Waiyaki Way,SUPA FAST,10000,8/26/2022,9/25/2022,13000,13000,3000,0,0
W2004,12,Waiyaki Way,SUPA FAST,10000,9/26/2022,10/26/2022,13000,13000,3000,0,0
W2004,13,Waiyaki Way,SUPA FAST,10000,10/27/2022,11/26/2022,13000,13000,3000,0,0
W2004,14,Waiyaki Way,SUPA FAST,10000,11/24/2022,12/24/2022,13000,13000,3000,0,0
W2004,15,Waiyaki Way,SUPA FAST,10000,12/21/2022,1/20/2023,13000,3190,3000,0,2800
W2005,1,Waiyaki Way,SUPA FAST,6500,10/21/2021,11/20/2021,8450,8450,1950,500,0
W2005,2,Waiyaki Way,SUPA FAST,6500,11/18/2021,12/18/2021,8450,8450,1950,0,0
W2005,3,Waiyaki Way,SUPA FAST,6500,12/17/2021,1/16/2022,8450,8450,1950,0,0
W2005,4,Waiyaki Way,SUPA FAST,8000,1/14/2022,2/13/2022,10400,10400,2400,0,0
W2005,5,Waiyaki Way,SUPA FAST,8000,2/11/2022,3/13/2022,10400,10400,2400,0,0
W2005,6,Waiyaki Way,SUPA FAST,8000,3/11/2022,4/10/2022,10400,10400,2400,0,0
W2005,7,Waiyaki Way,SUPA FAST,8000,4/6/2022,5/6/2022,10400,6200,2400,0,2240
W2006,1,Waiyaki Way,SUPA FAST,9800,10/21/2021,11/20/2021,12740,12740,2940,500,0
W2006,2,Waiyaki Way,SUPA FAST,9800,11/10/2021,12/10/2021,12740,9715,2940,0,3060
W2007,1,Waiyaki Way,SUPA FAST,6000,10/27/2021,11/26/2021,7800,7800,1800,500,0
W2007,2,Waiyaki Way,SUPA FAST,6000,11/22/2021,12/22/2021,7800,7800,1800,0,0
W2007,3,Waiyaki Way,SUPA FAST,6000,12/20/2021,1/19/2022,7800,7800,1800,0,0
W2007,4,Waiyaki Way,SUPA FAST,6000,1/10/2022,2/9/2022,7800,7800,1800,0,0
