Application ID,Loan No.,Repaid Date,Mpesa Code,Amount,Balance
W2001,1,10/15/2021,PJF6AEVGYG,412,11938
W2001,1,10/17/2021,PJH1D77H4D,412,11526
W2001,1,10/17/2021,PJH3E1IBJP,400,11126
W2001,1,10/18/2021,PJI8FJLO40,412,10714
W2001,1,10/18/2021,PJI7FJS8TN,12,10702
W2001,1,10/20/2021,PJK5IN1UJ9,750,9952
W2001,1,10/21/2021,PJL5K4FDP3,412,9540
W2001,1,10/21/2021,PJL0K4NQD4,74,9466
W2001,1,10/24/20231,PJO5OT5JN5,650,8816
W2001,1,10/24/20231,PJO6OT996E,30,8786
W2001,1,11/5/2021,PK518TP2IT,3000,5786
W2001,1,11/10/2021,PKA9GMZWKT,4500,1286
W2001,1,11/12/2021,PKC6KNJPS6,1286,0
W2001,2,12/28/2021,PLS2SS4M9G,12160,0
W2001,3,2/15/2022,QBF68HIMG0,1150,11200
W2001,3,2/15/2022,QBF18ILOV9,11000,200
W2001,3,2/16/2022,QBG898GYI8,200,0
W2001,4,4/12/2022,QDC6965C9A,1400,17450
W2002,1,11/13/2021,PKD3MIHCZT,10500,3100
W2002,1,11/15/2021,PKF4OH0IN2,3100,0
W2002,2,12/14/2021,PLE546TOMP,13000,0
W2003,1,10/27/2021,PJR8S1FFMW,1900,9300
W2003,1,10/28/2021,PJS8UPIP5A,9300,0
W2003,2,12/16/2021,PLG98XE6ZX,12000,200
W2004,1,10/27/2021,PJR6TK2I1G,950,9450
W2004,1,10/28/2021,PJS1UHOOWT,1000,8450
W2004,1,10/28/2021,PJS0V6RUG0,100,8350
W2004,1,10/29/2021,PJT7V8VN0J,600,7750
W2004,1,11/2/2021,PK244JCI5Q,200,7550
W2004,1,11/3/2021,PK3767KQB7,1050,6500
W2004,1,11/4/2021,PK477UDF0R,1000,5500
W2004,1,11/4/2021,PK447UFRZ0,15,5485
W2004,1,11/5/2021,PK5081SM2O,100,5385
W2004,1,11/5/2021,PK588FOWMW,100,5285
W2004,1,11/5/2021,PK579K005D,80,5205
W2004,1,11/10/2021,PKA7HNY0QH,400,4805
W2004,1,11/11/2021,PKB1ICM3CT,100,4705
W2004,1,11/11/2021,PKB0ICO12S,100,4605
W2004,1,11/11/2021,PKB8IMPJUY,500,4105
W2004,1,11/11/2021,PKB6J6XDZK,500,3605
W2004,1,11/12/2021,PKC2JFK9GI,100,3505
W2004,1,11/12/2021,PKC5JFLH4T,100,3405
W2004,1,11/12/2021,PKC0JFNOQI,100,3305
W2004,1,11/12/2021,PKC2JPXK7S,100,3205
W2004,1,11/12/2021,PKC9JREFO5,100,3105
W2004,1,11/12/2021,PKC0K28E9W,100,3005
W2004,1,11/12/2021,PKC8K2B06O,100,2905
W2004,1,11/14/2021,PKE2N9QU4K,100,2805
W2004,1,11/16/2021,PKG0PY5ELQ,100,2705
W2004,1,11/16/2021,PKG9PY80C5,100,2605
W2004,1,11/17/2021,PKH0RO8AJW,100,2505
W2004,1,11/17/2021,PKH9RRJT9N,100,2405
W2004,1,11/17/2021,PKH8RRP9AU,100,2305
W2004,1,11/17/2021,PKH3RS4LRV,100,2205
W2004,1,11/17/2021,PKH5SPMANH,500,1705
W2004,1,11/18/2021,PKI8T0FP36,500,1205
W2004,1,11/18/2021,PKI0THEW6C,100,1105
W2004,1,11/18/2021,PKI4THW9W0,80,1025
W2004,1,11/18/2021,PKI0TKXBMA,100,925
W2004,1,11/18/2021,PKI9U1I4MJ,100,825
W2004,1,11/18/2021,PKI1U2B3VJ,70,755
W2004,1,11/18/2021,PKI7UD00BX,750,5
W2004,1,11/18/2021,PKI0UD2FEG,30,25
W2004,2,11/24/2021,PKO05MSNSE,100,10300
W2004,2,11/24/2021,PKO15MTG5T,100,10200
W2004,2,11/25/2021,PKP160NDIV,100,10100
W2004,2,11/25/2021,PKP078NGX8,600,9500
W2004,2,11/26/2021,PKQ87RFF5O,500,9000
W2004,2,11/26/2021,PKR599UQFV,100,8900
W2004,2,11/28/2021,PKS4BCHPPY,100,8800
W2004,2,11/28/2021,PKS4BOQURG,100,8700
W2004,2,12/1/2021,PL17FYW7DL,100,8600
W2004,2,12/1/2021,PL18FYZKJU,100,8500
W2004,2,12/3/2021,PL34JIJ37S,100,8400
W2004,2,12/3/2021,PL39JJ1I4N,100,8300
W2004,2,12/4/2021,PL49MT2H8B,100,8200
W2004,2,12/4/2021,PL57N2IONR,100,8100
W2004,2,12/4/2021,PL64QBO67K,300,7800
W2004,2,12/8/2021,PL86SR0PXI,100,7700
W2004,2,12/9/2021,PL91UHVGHZ,250,7450
W2004,2,12/8/2021,PL85T51LYZ,100,7350
W2004,2,12/8/2021,PL82T56J4E,100,7250
W2004,2,12/10/2021,PLA8VWWAT4,100,7150
W2004,2,12/10/2021,PLA4VY8DO4,100,7050
W2004,2,12/12/2021,PLC8217Z6W,300,6750
W2004,2,12/14/2021,PLE158MBG9,1000,5750
W2004,2,12/15/2021,PLF67688O8,800,4950
W2004,2,12/17/2021,PLH59KH8B5,500,4450
W2004,2,12/17/2021,PLH69RZGJU,3700,750
W2004,2,12/17/2021,PLH19SCIL3,800,50
W2004,3,12/17/2021,PLH19SCIL32,50,10350
W2004,3,1/11/2022,QAB7H7MDRL,900,9450
W2004,3,1/13/2022,QAD0KIEYOA,400,9050
W2004,3,1/14/2022,QAE5LBTDKV,690,8360
W2004,3,1/14/2022,QAE7LD2EED,100,8260
W2004,3,1/14/2022,QAE3LE6T2B,100,8160
W2004,3,1/14/2022,QAE5LGAA3F,8160,0
W2004,4,2/3/2022,QB31LNJZLH,200,10200
W2004,4,2/10/2022,QBA0YGAZXC,500,9700
W2004,4,2/10/2022,QBA1XT4CWV,500,9200
W2004,4,2/11/2022,QBB6ZBTNVW,600,8600
W2004,4,2/11/2023,QBB7ZIYFA5,8200,400
W2004,4,2/11/2023,QBB3ZK3ZEV,400,0
W2004,5,3/15/2022,QCF0Q55SHO,10400,480
W2004,5,3/15/2022,QCF9Q6M5KF,480,0
W2004,6,4/8/2022,QD8321W1EX,250,10150
W2004,6,4/12/2022,QDC29F382U,10150,0
W2004,7,5/10/2022,QEA7R0QNXX,7000,3400
W2004,7,5/10/2022,QEA3R5UUJH,3400,0
W2004,8,6/6/2022,QF63A2AA6F,1000,12000
W2004,8,6/6/2022,QF67A2PXVV,2000,10000
W2004,8,6/7/2022,QF74BDAV8G,730,9270
W2004,8,6/7/2022,QF70BQ8CCQ,1350,7920
W2004,8,6/7/2022,QF73CN2L3R,7920,0
W2004,9,7/2/2022,QG21PUERS7,3500,9500
W2004,9,7/3/2022,QG36TDRIE0,2500,7000
W2004,9,7/4/2022,QG48UQQHBI,300,6700
W2004,9,7/4/2022,QG47UR3MIH,2800,3900
W2004,9,7/4/2022,QG42US895W,3900,0
W2004,10,7/28/2022,QGS69M1DEC,100,12700
W2004,10,7/28/2022,QGS79M3XXH,1400,11300
W2004,10,7/30/2022,QGU8BXGARQ,2000,9300
W2004,10,7/30/2022,QGU2CQP87E,9300,0
W2004,11,8/19/2022,QHJ6GMNG18,500,12400
W2004,11,8/23/2022,QHN5NMUADR,350,12050
W2004,11,8/23/2022,QHN1NPR1H3,100,11950
W2004,11,8/26/2022,QHQ4U4JMA4,7950,4000
W2004,11,8/26/2022,QHQ3TPMHOV,4000,0
W2004,12,9/20/2022,QIK7D1KE5J,500,13100
W2004,12,9/22/2022,QIM5HBNWBB,600,12500
W2004,12,9/24/2022,QIO8KGEB98,6700,5800
W2004,12,9/26/2022,QIQ9OLO4P,5650,150
W2004,12,9/26/2022,QIQ9OPNC2N,150,0
W2004,13,10/25/2022,QJP4KWN0ZO,7000,6600
W2004,13,10/26/2022,QJQ9M8ZWFR,1000,5600
W2004,13,10/26/2022,QJQ5MGXJ1J,100,5500
W2004,13,10/27/2022,QJR5OAQ0UP,600,4900
W2004,13,10/27/2022,QJR3PC5CS1,4900,0
W2004,14,11/16/2022,QKG61BZU68,200,12800
W2004,14,11/17/2022,QKH942XNCZ,100,12700
W2004,14,11/17/2022,QKH4437QIQ,100,12600
W2004,14,11/19/2022,QKJ288JSPO,100,12500
W2004,14,11/19/2022,QKJ089UQG6,100,12400
W2004,14,11/22/2022,QKM5F2DSEN,480,11920
W2004,14,11/24/2022,QKO6JM1QAI,6350,5570
W2004,14,11/24/2022,QKO1KPZF1P,4670,900
W2004,14,11/24/2022,QKO3K4ZBAN,400,500
W2004,14,11/24/2022,QKO1K2YM99,500,0
W2004,15,12/21/2022,QLL2NX04X4,500,12400
W2004,15,12/21/2022,QLL8O4A622,9800,2600
W2004,15,12/21/2022,QLL4O577RO,100,2500
W2004,15,12/21/2022,QLL7OBPZQL,2500,0
W2004,16,1/30/2023,RAU0IHAV4K,420,14180
W2004,16,2/1/2023,RB16P1UG2C,400,13780
W2004,16,2/3/2023,RB32S1DAS2,250,13530
W2004,16,2/8/2023,RB847A4W10,400,13130
W2004,16,2/10/2023,RBA9BY5TK5,100,13030
W2004,16,2/10/2023,RBA5BYJEPH,100,12930
W2004,16,2/15/2023,RBF7POPORR,100,12830
W2004,16,2/28/2023,RBS1OBFAO7,300,12530
W2004,16,3/22/2023,RCM9DSSRFN,200,12330
W2004,16,6/6/2023,RF68DL6OCW,100,12230
W2004,16,6/24/2023,RFO4UCYXXW,100,12130
W2004,16,6/26/2023,RFQ62AVG4I,300,11830
W2004,16,7/1/2023,RG14F0ZG6C,270,11560
W2004,16,7/4/2023,RG41OV2SGZ,150,11410
W2005,1,10/22/2021,PJM2L0YRAK,282,8168
W2005,1,10/25/2021,PJP0P1P7CU,600,7568
W2005,1,10/28/2021,PJS0TW39RA,980,6588
W2005,1,11/4/2021,PK456IY9RV,2200,4388
W2005,1,11/12/2021,PKC3K66BLJ,1150,3238
W2005,1,11/17/2021,PKH8RG5NH0,740,2498
W2005,1,11/17/2021,PKH7SO9XIP,2550,52
W2005,2,11/26/2021,PKQ87D0XSW,100,8350
W2005,2,11/26/2021,PKQ67D1R1W,1050,7300
W2005,2,12/1/2021,PL12G77WD2,780,6520
W2005,2,12/6/2021,PL63ONFWP9,800,5720
W2005,2,12/8/2021,PL87SFE8S9,1350,4370
W2005,2,12/14/2021,PLE73SDVST,750,3620
W2005,2,12/16/2021,PLG189MX8B,3620,0
W2005,3,1/12/2022,QAC8HISC2G,3000,5450
W2005,3,1/13/2022,QAD7JDP8GL,2400,3050
W2005,3,1/14/2022,QAE2KU7XYS,1550,1500
W2005,3,1/14/2022,QAE6L6UWXY,1500,0
W2005,4,2/8/2022,QB87T4CWN7,1900,8500
W2005,4,2/9/2022,QB94UZ29QW,2000,6500
W2005,4,2/10/2022,QBA7X0I4M5,1300,5200
W2005,4,2/11/2022,QBB0YW3GJ6,4000,1200
W2005,4,2/11/2022,QBB8Z76ATG,1200,0
W2005,5,3/10/2022,QCA2G8LCOG,50,10350
W2005,5,3/10/2022,QCA6G8N8J2,1100,9250
W2005,5,3/10/2022,QCA0HB12O0,7900,1350
W2005,5,3/11/2022,QCB3HYVSLH,1350,0
W2005,6,4/5/2022,QD57V0WM9X,100,10300
W2005,6,4/6/2022,QD69W96C73,100,10200
W2005,6,4/6/2022,QD62W987QK,10300,100
W2005,7,5/2/2022,QE28B4MLCI,500,11180
W2005,7,5/6/2022,QE69IRF1KX,500,10680
W2005,7,5/7/2022,QE70LFTPFK,500,10180
W2005,7,5/9/2022,QE95ONY8I3,500,9680
W2005,7,5/9/2022,QE95PDH3NJ,500,9180
W2005,7,5/10/2022,QEA9RGLNB1,500,8680
W2005,7,5/13/2022,QED5WMY1HT,500,8180
W2005,7,5/14/2022,QEE3YZIRVD,500,7680
W2005,7,5/18/2022,QEI578GBX5,1000,6680
W2005,7,5/18/2022,QEI17LOTHN,700,5980
